bug	sim-bug	patch	sim-patch	b1	b2	b3	b4	b-BLEU-cum	b-BLEU-ave	b-jaccard	p1	p2	p3	p4	p-BLEU-cum	p-jaccard	p-BLEU-ave
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( Exception e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( Exception e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
logger . info (	logger . info (	logger . finest (	logger . fine (	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.3333333333333333	0	0	0	0.2	0.2708333333333333
logger . info (	logger . info (	logger . finest (	logger . debug (	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.3333333333333333	0	0	0	0.2	0.2708333333333333
logger . info (	logger . info (	logger . finest (	logger . debug (	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.3333333333333333	0	0	0	0.2	0.2708333333333333
if ( list . isEmpty ( ) ) {	if ( list . isEmpty ( ) ) {	if ( ! list . isEmpty ( ) ) {	if ( CollectionUtils . isEmpty ( list ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9	0.5555555555555556	0.25	0	0	0.3263125763125763	0.42638888888888893
active = true ;	active = true ;	active = false ;	active = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
if ( ! launch . isTerminated ( ) ) {	if ( ! launch . isTerminated ( ) ) {	if ( ! launch . isTerminated ( ) & & launch . getLaunchConfiguration ( ) ! = null ) {	if ( launch ! = null & & ! launch . isTerminated ( ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8	0.5263157894736842	0.2777777777777778	0.17647058823529413	0.37903259135181483	0.41687710437710435	0.44514103887168904
if ( host = = null ) {	if ( host = = null ) {	if ( host = = null & & uri . getAuthority ( ) = = null ) {	if ( host = = null | | host . length ( ) = = 0 ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7222222222222222	0.5294117647058824	0.375	0.26666666666666666	0.44219732271776674	0.32827520305781177	0.4733251633986928
if ( host = = null ) {	if ( host = = null ) {	if ( host = = null & & uri . getAuthority ( ) = = null ) {	if ( host = = null | | host . isAlias ( ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6111111111111112	0.4117647058823529	0.25	0.2	0.33491517492026424	0.30630827505827507	0.368218954248366
throw new IllegalArgumentException ( ) ;	throw new IllegalArgumentException ( ) ;	"throw new IllegalArgumentException ( defaultInstanceName + "" not specified in instance configs."" ) ;"	throw new IllegalArgumentException ( t . getMessage ( ) , t ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.42857142857142855	0.30769230769230765	0.16666666666666669	0.0909090909090909	0.21142141714303078	0.16726190476190475	0.24845987345987344
throw new IllegalArgumentException ( ) ;	throw new IllegalArgumentException ( ) ;	"throw new IllegalArgumentException ( defaultInstanceName + "" not specified in instance configs."" ) ;"	"throw new IllegalArgumentException ( ""Cannot find registered cloud for "" + cloudId ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5714285714285714	0.30769230769230765	0.16666666666666669	0.0909090909090909	0.22718709780542318	0.18008658008658007	0.28417415917415917
throw new IllegalArgumentException ( ) ;	throw new IllegalArgumentException ( ) ;	"throw new IllegalArgumentException ( defaultInstanceName + "" not specified in instance configs."" ) ;"	"throw new IllegalArgumentException ( ""Project of the name "" + name + "" already exists"" ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4612101411459368	0.31042990269438053	0.13451962450089824	0.07337434063685358	0.1938867199918138	0.1825	0.24488350224451727
throw new IllegalArgumentException ( ) ;	throw new IllegalArgumentException ( ) ;	"throw new IllegalArgumentException ( ""Instance type not set in config"" ) ;"	throw new IllegalArgumentException ( t . getMessage ( ) , t ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.46002220731466165	0.33456160531975393	0.18400888292586468	0.10222715718103591	0.23196101068401995	0.18658625730994152	0.27020496318532905
throw new IllegalArgumentException ( ) ;	throw new IllegalArgumentException ( ) ;	"throw new IllegalArgumentException ( ""Instance type not set in config"" ) ;"	"throw new IllegalArgumentException ( ""Cannot find registered cloud for "" + cloudId ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.423240862445307	0.30781153632385966	0.16929634497812282	0.09405352498784599	0.2134144322916053	0.1631578947368421	0.24860056718378387
throw new IllegalArgumentException ( ) ;	throw new IllegalArgumentException ( ) ;	"throw new IllegalArgumentException ( ""Instance type not set in config"" ) ;"	"throw new IllegalArgumentException ( ""Project of the name "" + name + "" already exists"" ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.32962031510022183	0.23972386552743408	0.13184812604008875	0.07324895891116039	0.1662073269874415	0.15158102766798418	0.19361031639472626
String name ( ) ;	String name ( ) ;	"String name ( ) default """" ;"	String name ( ) default com . opensymphony . xwork2 . Action . SUCCESS ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.27334847770626036	0.2126043715493136	0.19134393439438227	0.15945327866198522	0.205203257527232	0.2635989010989011	0.20918751557798537
public String toString ( ) {	public String toString ( ) {	@Override public String toString ( ) {	public synchronized String toString ( ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.6	0.5	0.6434588841607617	0.5029761904761905	0.655952380952381
String result = null ;	String result = null ;	String result = MessageProcessor . NO_RESPONSE ;	String result = version ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5714285714285714	0.3333333333333333	0.2	0	0	0.2232142857142857	0.27619047619047615
catch ( Exception e )	catch ( Exception e )	catch ( NoSuchMethodException e )	catch ( IOException e )	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8	0.5	0	0	0	0.25	0.325
catch ( Exception e )	catch ( Exception e )	catch ( NoSuchMethodException e )	catch ( Throwable t )	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.25	0	0	0	0.14285714285714285	0.2125
catch ( Exception e )	catch ( Exception e )	catch ( NoSuchMethodException e )	catch ( Exception | Error e )	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5362560368285115	0.33516002301781966	0	0	0	0.1875	0.2178540149615828
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( Exception e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( Exception e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( Exception e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
double amount = Double . valueOf ( amt ) ;	double amount = Double . valueOf ( amt ) ;	double amount = Double . parseDouble ( amt ) ;	double amount = Double . parseDouble ( amt ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Thread . sleep ( 2000 ) ;	Thread . sleep ( 2000 ) ;	Thread . sleep ( 5000 ) ;	Thread . sleep ( 10 ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
Thread . sleep ( 2000 ) ;	Thread . sleep ( 2000 ) ;	Thread . sleep ( 5000 ) ;	Thread . sleep ( 4000 ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
Thread . sleep ( 1000 ) ;	Thread . sleep ( 1000 ) ;	wait ( 1000 ) ;	Thread . sleep ( 3000 ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.40219202762138356	0.16758001150890983	0	0	0	0.1111111111111111	0.14244300978257335
Thread . sleep ( 1000 ) ;	Thread . sleep ( 1000 ) ;	wait ( 1000 ) ;	Thread . sleep ( 3000 ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.40219202762138356	0.16758001150890983	0	0	0	0.1111111111111111	0.14244300978257335
Thread . sleep ( 1000 ) ;	Thread . sleep ( 1000 ) ;	wait ( 1000 ) ;	Thread . sleep ( 2500 ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.40219202762138356	0.16758001150890983	0	0	0	0.1111111111111111	0.14244300978257335
LOG . error ( msg , e ) ;	LOG . error ( msg , e ) ;	LOG . debug ( msg , e ) ;	LOG . error ( msg ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.375	0	0	0	0.21818181818181817	0.26041666666666663
catch ( Exception e )	catch ( Exception e )	catch ( IOException e )	catch ( IOException e )	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
catch ( Exception e )	catch ( Exception e )	catch ( IOException e )	catch ( Throwable t )	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.25	0	0	0	0.14285714285714285	0.2125
catch ( Exception e )	catch ( Exception e )	catch ( IOException e )	catch ( Exception | Error e )	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5362560368285115	0.33516002301781966	0	0	0	0.1875	0.2178540149615828
import org . apache . commons . lang3 . StringUtils ;	import org . apache . commons . lang3 . StringUtils ;	import org . apache . commons . lang . StringUtils ;	import org . apache . commons . lang . StringUtils ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LOG . debug (	LOG . debug (	LOG . error (	LOG . trace (	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.3333333333333333	0	0	0	0.2	0.2708333333333333
private static final boolean DEBUG = true ;	private static final boolean DEBUG = true ;	private static final boolean DEBUG = false ;	private static final boolean DEBUG = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private static final boolean DEBUG = true ;	private static final boolean DEBUG = true ;	private static final boolean DEBUG = false ;	private static final boolean DEBUG = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private static final boolean DEBUG = true ;	private static final boolean DEBUG = true ;	private static final boolean DEBUG = false ;	private static final boolean DEBUG = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private static final boolean DEBUG = true ;	private static final boolean DEBUG = true ;	private static final boolean DEBUG = false ;	private static final boolean DEBUG = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private static final boolean DEBUG = true ;	private static final boolean DEBUG = true ;	private static final boolean DEBUG = false ;	private static final boolean DEBUG = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private static final boolean DEBUG = true ;	private static final boolean DEBUG = true ;	private static final boolean DEBUG = false ;	private static final boolean DEBUG = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private static final boolean DEBUG = false ;	private static final boolean DEBUG = false ;	private static final boolean DEBUG = true ;	private static final boolean DEBUG = true ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private static final boolean DEBUG = false ;	private static final boolean DEBUG = false ;	private static final boolean DEBUG = true ;	private static final boolean DEBUG = LoggingConfiguration . DEBUG ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6814506851874793	0.5562862736224321	0.5192005220476033	0.4672804698428429	0.5506953149031837	0.471969696969697	0.5560544876750894
private static final boolean DEBUG = false ;	private static final boolean DEBUG = false ;	private static final boolean DEBUG = true ;	private static final boolean DEBUG = true ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
if ( prefix ! = null ) {	if ( prefix ! = null ) {	if ( prefix ! = null & & prefix . length ( ) > 0 ) {	if ( ! prefix . isEmpty ( ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5294117647058824	0.25	0	0	0	0.17261904761904762	0.1948529411764706
if ( prefix ! = null ) {	if ( prefix ! = null ) {	if ( prefix ! = null & & prefix . length ( ) > 0 ) {	if ( prefix ! = null & & value ! = null & & ! value . toString ( ) . startsWith ( prefix ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.45731113070748874	0.31235983481359725	0.22212254920078026	0.19832370464355384	0.2816492233297367	0.3253168202764977	0.29752930484135504
LOG . error ( e ) ;	LOG . error ( e ) ;	"LOG . error ( ""Failed to save bag"" , e ) ;"	"LOG . error ( ""Can't read settings for "" + tool , e ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5192005220476033	0.42480042712985716	0.311520313228562	0.17306684068253442	0.3302212944306679	0.2631578947368421	0.3571470257721392
LOG . error ( e ) ;	LOG . error ( e ) ;	"LOG . error ( ""Failed to save bag"" , e ) ;"	LOG . info ( e ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.2727272727272727	0.10000000000000002	0	0	0.18681318681318682	0.21818181818181817
LOG . error ( e ) ;	LOG . error ( e ) ;	"LOG . error ( ""Failed to save bag"" , e ) ;"	LOG . debug ( e ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.2727272727272727	0.10000000000000002	0	0	0.18681318681318682	0.21818181818181817
} catch ( ArrayIndexOutOfBoundsException e ) {	} catch ( ArrayIndexOutOfBoundsException e ) {	} catch ( IndexOutOfBoundsException e ) {	} catch ( IndexOutOfBoundsException e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
} catch ( ArrayIndexOutOfBoundsException e ) {	} catch ( ArrayIndexOutOfBoundsException e ) {	} catch ( IndexOutOfBoundsException e ) {	} catch ( IndexOutOfBoundsException e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
} catch ( ArrayIndexOutOfBoundsException e ) {	} catch ( ArrayIndexOutOfBoundsException e ) {	} catch ( IndexOutOfBoundsException e ) {	} catch ( IndexOutOfBoundsException e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
boolean enabled = true ;	boolean enabled = true ;	boolean enabled = false ;	boolean enabled ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.25	0	0	0	0.2	0.2125
} catch ( IOException ex ) {	} catch ( IOException ex ) {	} catch ( IOException | UnsupportedOperationException ex ) {	} catch ( Throwable ex ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.5	0.2857142857142857	0	0	0.3	0.363095238095238
} catch ( IOException ex ) {	} catch ( IOException ex ) {	} catch ( IOException | UnsupportedOperationException ex ) {	} catch ( IOException | ArrayIndexOutOfBoundsException ex ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8888888888888888	0.75	0.5714285714285714	0.3333333333333333	0.5969491792019646	0.49999999999999994	0.6359126984126985
} catch ( IOException ex ) {	} catch ( IOException ex ) {	} catch ( IOException | UnsupportedOperationException ex ) {	} catch ( Exception ex ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.5	0.2857142857142857	0	0	0.3	0.363095238095238
setModal ( true ) ;	setModal ( true ) ;	setModal ( false ) ;	setModal ( false ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
public static final boolean DEBUG = true ;	public static final boolean DEBUG = true ;	public static final boolean DEBUG = false ;	public static final boolean DEBUG = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
public static final boolean DEBUG = true ;	public static final boolean DEBUG = true ;	public static final boolean DEBUG = false ;	public static final boolean DEBUG = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
public static final boolean DEBUG = true ;	public static final boolean DEBUG = true ;	public static final boolean DEBUG = false ;	public static final boolean DEBUG = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
synchronized ( point ) {	synchronized ( point ) {	synchronized ( points ) {	synchronized ( points ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Log . d ( TAG , ""Camera resolution: "" + screenResolution ) ;"	"Log . d ( TAG , ""Camera resolution: "" + screenResolution ) ;"	"Log . d ( TAG , ""Camera resolution: "" + cameraResolution ) ;"	"Log . d ( TAG , ""Camera resolution: "" + cameraResolution ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
if ( prefs . getBoolean ( PreferencesActivity . KEY_FRONT_LIGHT , true ) ) {	if ( prefs . getBoolean ( PreferencesActivity . KEY_FRONT_LIGHT , true ) ) {	if ( prefs . getBoolean ( PreferencesActivity . KEY_FRONT_LIGHT , false ) ) {	if ( prefs . getBoolean ( PreferencesActivity . KEY_FRONT_LIGHT , false ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
public final class DECaptureActivity extends Activity implements SurfaceHolder . Callback {	public final class DECaptureActivity extends Activity implements SurfaceHolder . Callback {	public final class CaptureActivity extends Activity implements SurfaceHolder . Callback {	public final class CaptureActivity extends Activity implements SurfaceHolder . Callback {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
final class ResultHandler implements Button . OnClickListenear {	final class ResultHandler implements Button . OnClickListenear {	final class ResultHandler implements Button . OnClickListener {	final class ResultHandler implements Button . OnClickListener {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
